pc_id,position_name,value,club_id
32169,Batter,1.0,817
3320085,Batter,1.0,817
3884737,Batter,1.0,817
437256,Batter,1.2,817
3924998,Batter,1.0,817
898184,Batter,1.0,817
450650,Batter,1.0,817
919749,Batter,1.0,817
3946568,Batter,0.9,817
3743166,Batter,1.0,817
857799,Batter,1.0,817
8887,Batter,0.0,817
1547020,All Rounder,10.0,817
3711876,All Rounder,11.2,817
4035678,All Rounder,10.7,817
32185,All Rounder,8.1,817
588667,All Rounder,7.5,817
1311397,All Rounder,7.5,817
735324,All Rounder,2.7,817
3896324,All Rounder,1.2,817
1865814,All Rounder,1.0,817
3662808,All Rounder,1.0,817
3923357,All Rounder,1.0,817
3427066,All Rounder,1.0,817
3405861,All Rounder,1.0,817
3405855,All Rounder,1.0,817
3405822,All Rounder,1.0,817
